1	328
2	386
3	392
4	1096
5	1154
6	1160
7	4480
8	8322
9	8328
10	8576
11	9218
12	9224
13	9344
14	10368
15	16418
16	16450
17	16456
18	16464
19	16642
20	16648
21	16704
22	17410
23	17416
24	17472
25	290
26	292
27	322
28	324
29	336
30	388
31	400
32	546
33	548
34	578
35	580
36	584
37	592
38	642
39	644
40	648
41	656
42	1058
43	1060
44	1090
45	1092
46	1104
47	1156
48	1168
49	2082
50	2084
51	2114
52	2116
53	2120
54	2128
55	2178
56	2180
57	2184
58	2192
59	4130
60	4132
61	4162
62	4164
63	4168
64	4176
65	4226
66	4228
67	4232
68	4240
69	4354
70	4356
71	4360
72	4368
73	4384
74	4416
75	4610
76	4612
77	4616
78	4624
79	4640
80	4672
81	4736
82	8226
83	8228
84	8258
85	8260
86	8264
87	8272
88	8324
89	8336
90	8450
91	8452
92	8456
93	8464
94	8480
95	8512
96	8706
97	8708
98	8712
99	8720
100	8736
101	8768
102	8832
103	9220
104	9232
105	9248
106	9280
107	10242
108	10244
109	10248
110	10256
111	10272
112	10304
113	16420
114	16452
115	16644
116	16656
117	16672
118	16898
119	16900
120	16904
121	16912
122	16928
123	16960
124	17412
125	17424
126	17440
127	18434
128	18436
129	18440
130	18448
131	18464
132	18496
133	32802
134	32804
135	32834
136	32836
137	32840
138	32848
139	32898
140	32900
141	32904
142	32912
143	33026
144	33028
145	33032
146	33040
147	33056
148	33088
149	33152
150	33282
151	33284
152	33288
153	33296
154	33312
155	33344
156	33408
157	65794
158	65796
159	66050
160	66052
161	66562
162	66564
163	67586
164	67588
165	69634
166	69636
167	69888
168	70144
169	73730
170	73732
171	73984
172	74240
173	74752
174	75776
175	81922
176	81924
177	82176
178	82432
179	82944
180	83968
181	98306
182	98308
183	98560
184	98816
185	16514
186	16516
187	16520
188	16528
189	16768
190	17024
191	17536
192	18560
193	131106
194	131108
195	131138
196	131140
197	131144
198	131152
199	131202
200	131204
201	131208
202	131216
203	196610
204	196612
205	266496
206	266752
207	270592
208	270848
209	271360
210	272384
211	278784
212	279040
213	279552
214	280576
215	295168
216	295424
217	524322
218	524324
219	524354
220	524356
221	524360
222	524368
223	524418
224	524420
225	524424
226	524432
227	589826
228	589828
229	1052928
230	1053184
231	1057024
232	1057280
233	1057792
234	1058816
235	1065216
236	1065472
237	1065984
238	1067008
239	1081600
240	1081856
